Action
Microsoft.Authorization/elevateAccess/Action
Microsoft.Authorization/roleAssignmentScheduleRequests/write
Microsoft.Authorization/roleEligibilityScheduleRequests/write
Microsoft.Authorization/roleDefinitions/delete
Microsoft.Authorization/roleDefinitions/write
Microsoft.AzureActiveDirectory/b2cDirectories/*
Microsoft.AzureActiveDirectory/b2ctenants/*
Microsoft.Blueprint/blueprintAssignments/delete
Microsoft.Blueprint/blueprintAssignments/write
Microsoft.Network/azurefirewalls/write
Microsoft.Network/connections/write
Microsoft.Network/customIpPrefixes/write
Microsoft.Network/expressRouteCircuits/delete
Microsoft.Network/expressRouteCircuits/join/action
Microsoft.Network/expressRouteCircuits/write
Microsoft.Network/expressRouteGateways/write
Microsoft.Network/frontDoors/write
Microsoft.Network/ipAllocations/delete
Microsoft.Network/ipAllocations/write
Microsoft.Network/localnetworkgateways/write
Microsoft.Network/locations/bareMetalTenants/action
Microsoft.Network/locations/setLoadBalancerFrontendPublicIpAddresses/action
Microsoft.Network/masterCustomIpPrefixes/delete
Microsoft.Network/masterCustomIpPrefixes/write
Microsoft.Network/natGateways/delete
Microsoft.Network/natGateways/write
Microsoft.Network/networkManagers/write
Microsoft.Network/publicIPAddresses/delete
Microsoft.Network/publicIPAddresses/dnsAliases/delete
Microsoft.Network/publicIPAddresses/dnsAliases/write
Microsoft.Network/publicIPAddresses/join/action
Microsoft.Network/publicIPAddresses/write
Microsoft.Network/publicIPPrefixes/delete
Microsoft.Network/publicIPPrefixes/join/action
Microsoft.Network/publicIPPrefixes/write
Microsoft.Network/securityPartnerProviders/write
Microsoft.Network/trafficManagerProfiles/write
Microsoft.Network/virtualHubs/write
Microsoft.Network/virtualNetworkGateways/write
Microsoft.Network/virtualNetworks/delete
Microsoft.Network/virtualNetworks/remoteVirtualNetworkPeeringProxies/write
Microsoft.Network/virtualNetworks/virtualNetworkPeerings/delete
Microsoft.Network/virtualNetworks/virtualNetworkPeerings/write
Microsoft.Network/virtualRouters/write
Microsoft.Network/virtualWans/write
Microsoft.Subscription/cancel/action
Microsoft.Subscription/rename/action





